n,ratio,string_n
8,1,00101011
12,0.952941176471,001010101011
16,0.937728937729,0001011010010111
20,0.931445603577,00001101010101001111
24,0.93036611629,000001101101010010011111
28,0.92917956656,0000010110101010101001011111
32,0.92732623952,00000010110110101010010010111111
36,0.926564044626,000000011011010110100101001001111111
40,0.926268988514,0000000011101011010101010010100011111111
44,0.9256496175,00000000101101101101010101001001001011111111
48,0.925259917005,000000000110110110101010101010100100100111111111
52,0.924992713023,0000000000110110110110101010101001001001001111111111
56,0.925040333261,00000000001011011011010101101001010100100100101111111111
